company name,mobile no,website link,state and city,email,phone
['FURNSTYL - The Luxury Home Store'],['tel:0120 427 0505'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5mdXJuc3R5bC5jb20/814b946dd77ea79c3cd7b4fc20d2f61b/ue/MjMyMjg0OTA/9d348ec71b5d21974a0f56eabffeb5a9'],"['Noida, Uttar Pradesh']",[],[],[]
['The White Teak Company'],['tel:098739 94497'],['https://www.houzz.in/trk/aHR0cHM6Ly93aGl0ZXRlYWsuY29tP3V0bV9tZWRpdW09SG91enomdXRtX2NhbXBhaWduPUhvdXp6/caa17b6392d91eba8b35d38c9e064061/ue/NDI4ODg0Nzk/630991c3a25143c7f73028edf09faf55'],"['New Delhi, Delhi']",[],[],[]
['Avian'],['tel:098188 02244'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5hdmlhbmxpZmVzdHlsZS5jb20/41deeb9d7c45cf7aa2b1563e2c28c335/ue/NTE2OTk2NjA/e5e0cc0a76fb7fe21579029c57cd1a1a'],"['National Capital Territory of Delhi, Delhi']",[],[],[]
['IDUS Furniture Store'],['tel:098715 00042'],['https://www.houzz.in/trk/aHR0cHM6Ly9pZHVzZnVybml0dXJlLmhvdXp6Lmlu/f7056d2a8968ba88d0ff70f7917e5123/ue/NDMwNDg1NDg/f7423be6ce2d195cfbb453116cafe597'],"['New Delhi, Delhi']",[],[],[]
['Luxox Pvt Ltd.'],['tel:093501 91393'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cubHV4b3guY29tLw/8aab41f4f3d465bfdaa694b6623c0897/ue/NTg1MTUxNjI/ed74731b088a54c308e186a877451e35'],"['New Delhi, Uttar Pradesh']",[],[],[]
['Its All About Home'],['tel:0120 677 4224'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5pYWFoLmNvbQ/1f3a4a181b8d47802425c0af16542099/ue/MzkzNDA3Nzc/57850e55fb7b307d9c4137c526c25b78'],"['Noida, Uttar Pradesh']",[],[],['1000120']
['METAPHOR CONTEMPORARY FURNITURE'],['tel:098101 63660'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5tZXRhcGhvcmNvbnRlbXBvcmFyeWZ1cm5pdHVyZS53b3JkcHJlc3MuY29t/e19330f07255ba8be0a98292815c9a6e/ue/MjY0MTQyNDM/2444451c8e8af15b373c532ed79cba0f'],"['NEW DELHI, Delhi']",[],[],[]
['Homecity Lifestyle Pvt Ltd'],['tel:099967 81808'],['https://www.houzz.in/trk/aHR0cHM6Ly9nb28uZ2wvaVJMZmJ2/709174def0995d1423c73bbcce28cb25/ue/NDYxMDg5ODc/d39e3624c4a26c810251446dd28ba36a'],"['New Delhi, Delhi']",[],[],[]
['WORLDWIDE ARCHITECTURAL HARDWARE'],['tel:084392 73031'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5jYWJpbmV0aGFyZHdhcmVtYW51ZmFjdHVyZXJzLmNvbS8/743257f18a17ff6c007dda8f56812736/ue/MzM5NTY0NjI/7b797858eb25e04761d82e27b428da34'],"['ALIGARH, Uttar Pradesh']",[],[],[]
['Godrej Script'],['tel:080 2525 2259'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuc2NyaXB0b25saW5lLmNvbS8/398705015a536858f0e274a069bbc0aa/ue/NTUyMzMxMDM/f998aa77b6637a5d682c08d7f266ad03'],"['New Delhi, Delhi']",[],[],[]
['NIVASA'],['tel:098108 88985'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5uaXZhc2EuY29t/b9ebdb0499874789cd134bd747fde6d0/ue/NTc1MTg2Njg/0c8bf038658a7d1569876bbbfbcdb971'],"['Delhi, Delhi']",[],[],[]
