company name,mobile no,website link,state and city,email,phone
Venetian Design,tel:098226 42266,https://www.houzz.in/trk/aHR0cHM6Ly92ZW5ldGlhbmRlc2lnbmluZGlhLmhvdXp6Lmlu/271741a03c463c0e1b342eeac48477d3/ue/MTM5MDU1MjY/c760ffd826eaef88abeb6f75c0c324bb,"Nagpur, Maharashtra",,
Sunbrella,tel:095992 22136,https://www.houzz.in/trk/aHR0cHM6Ly93d3cuc3VuYnJlbGxhLmNvbS8/e807e9dc20a9d659cf62091a35d28b58/ue/NTYzNTM3MjE/6e55ee07eb8484e26d818b5e89c138ae,,,9599222136 9988114336 9619536455 7022413763
ZJM Exports,tel:022 2209 2856,https://www.houzz.in/trk/aHR0cDovL3pqbWV4cG9ydHMuY29t/dab2b4c4fdc8370e3381f847b7e9fe6f/ue/NTQ4MjAwMzM/219f5f178bff62539084450a3dea7920,"Mumbai, Maharashtra",,2209285 9821082201
Avian,tel:098188 02244,https://www.houzz.in/trk/aHR0cDovL3d3dy5hdmlhbmxpZmVzdHlsZS5jb20/41deeb9d7c45cf7aa2b1563e2c28c335/ue/NTE2OTk2NjA/e5e0cc0a76fb7fe21579029c57cd1a1a,"National Capital Territory of Delhi, Delhi",,
BetterGhar,tel:091373 03632,https://www.houzz.in/trk/aHR0cDovL2JldHRlcmdoYXIuY29t/8e5833c313550078b619fa809798709e/ue/MzgyNDg3MTk/b8b6f6b0fd5b28ff1aaa12314eff4b96,"Mumbai, Maharashtra",,
Iqrup + Ritz (India),tel:095991 10672,https://www.houzz.in/trk/aHR0cDovL2lxcnVwYW5kcml0ei5jb20/9a90664ab277deb9e90e81516a683596/ue/Mzk2MjY3ODE/d7ff8c21d566744f78d6fd7af33c0357,"Delhi, Delhi",contact.in@iqrupandritz.com,124 423 7613 9599110672
Seating Arrangements,tel:099039 42585,https://www.houzz.in/trk/aHR0cHM6Ly93d3cuc2VhdGluZ2FycmFuZ2VtZW50cy5pbg/bdafe77a0759712af317a87955676102/ue/NTQ3MjgxODQ/fce766781c15a057b028b634ddf45359,"Kolkata, West Bengal",,
Address home Retail Pvt. Ltd,tel:082872 63306,https://www.houzz.in/trk/aHR0cDovL3d3dy5hZGRyZXNzaG9tZS5jb20v/a2a76622e48b90232ef93224f0d1621c/ue/NDI0ODU1OTg/7dad1f457806d9069dd78895ecdd0d77,"Gurgaon, Haryana",,
Dev Tak.,tel:097844 40611,https://www.houzz.in/trk/aHR0cDovL3d3dy52YmNyYWZ0cy5jb20/ce8e69a9f76070610dd90d9aabc67af8/ue/MTM1Njg4NTU/6d102655f803e7fee7c91cf263959dd5,Jodhpur,,
FURNSTYL - The Luxury Home Store,tel:0120 427 0505,https://www.houzz.in/trk/aHR0cDovL3d3dy5mdXJuc3R5bC5jb20/814b946dd77ea79c3cd7b4fc20d2f61b/ue/MjMyMjg0OTA/9d348ec71b5d21974a0f56eabffeb5a9,"Noida, Uttar Pradesh",,
The White Teak Company,tel:098739 94497,https://www.houzz.in/trk/aHR0cHM6Ly93aGl0ZXRlYWsuY29tP3V0bV9tZWRpdW09SG91enomdXRtX2NhbXBhaWduPUhvdXp6/caa17b6392d91eba8b35d38c9e064061/ue/NDI4ODg0Nzk/630991c3a25143c7f73028edf09faf55,"New Delhi, Delhi",,
DecorNation,tel:090249 27721,https://www.houzz.in/trk/aHR0cDovL3d3dy5kZWNvcm5hdGlvbi5pbi8/b916d773ae41a21984e8d1a8c0bf8c14/ue/NDc1NzQ0MA/b41bb1d01d823d22b880fbdd821652fb,"Ratangarh, Rajasthan",,
IDUS Furniture Store,tel:098715 00042,https://www.houzz.in/trk/aHR0cHM6Ly9pZHVzZnVybml0dXJlLmhvdXp6Lmlu/f7056d2a8968ba88d0ff70f7917e5123/ue/NDMwNDg1NDg/f7423be6ce2d195cfbb453116cafe597,"New Delhi, Delhi",,
The Mallet,tel:076250 99089,https://www.houzz.in/trk/aHR0cDovL3d3dy50aGVtYWxsZXQuaW4v/f3700d4259952aca066a2d322185b5db/ue/NTU2NTY0NDI/9a157169c1e3401357acf6796c20e67b,"Bangalore Urban, Karnataka",,
Nbweb,tel:088663 63909,,Ahmedabad,,
Mistri Wood,tel:090224 87444,https://www.houzz.in/trk/aHR0cHM6Ly93d3cubWlzdHJpd29vZC5jb20/dcc4f2dc7fa6c6d1f0420d19e55f3ef4/ue/MzExMDE2OTk/26a0d5b9e7953aedd76e58823b997c2d,"Nashik, Maharashtra",,
W&M Design Studio,tel:033 4007 6114,https://www.houzz.in/trk/aHR0cDovL3dhbmRtLmlu/d5de6cf4c7dfdf7c38ae7438ec0952d2/ue/NDA3MjMwMzI/3549d81728d88a78f4fe1669750bfe74,"Kolkata, West Bengal",,
Kraft N Decor Overseas,tel:098290 08970,https://www.houzz.in/trk/aHR0cDovL3d3dy5rcmFmdG5kZWNvci5jb20/6c83ede51caff12b805cac0af992792c/ue/NzU1OTczNg/5a5b86618919dcc1d6423a06a5745e3d,Jodhpur,,
Stories Homes,tel:095393 33381,https://www.houzz.in/trk/aHR0cDovL3d3dy5zdG9yaWVzaG9tZXMuY29t/edb705724d4b7d8d1188ebad4ad47051/ue/MTQwNjM4OTU/90bdf022b42570c4c8b5b9af5016a93d,"Calicut, Kerala",,
Flipkart,tel:1800 208 9898,https://www.houzz.in/trk/aHR0cHM6Ly93d3cuZmxpcGthcnQuY29tL2Z1cm5pdHVyZS1zdG9yZQ/984b8151812f66fc3a0266708d69b6c8/ue/NTUzODg3MjM/57c51e7d855a636600159c72ca73f41d,"Bengaluru, Karnataka",,
The Baroque Studio,tel:098200 89870,https://www.houzz.in/trk/aHR0cDovL3d3dy50aGViYXJvcXVlc3R1ZGlvLmNvbQ/fc49e34a9b6eae02cac074826e91c111/ue/NDY2MDA5NDU/9e6c677eea324e1fd7b5e56e96a32df6,"Mumbai, Maharashtra",thebaroquestudio14@gmail.com,
WORLDWIDE ARCHITECTURAL HARDWARE,tel:084392 73031,https://www.houzz.in/trk/aHR0cDovL3d3dy5jYWJpbmV0aGFyZHdhcmVtYW51ZmFjdHVyZXJzLmNvbS8/743257f18a17ff6c007dda8f56812736/ue/MzM5NTY0NjI/7b797858eb25e04761d82e27b428da34,"ALIGARH, Uttar Pradesh",,
Doon Furniture House,tel:099175 47184,https://www.houzz.in/trk/aHR0cDovL3d3dy5mYWNlYm9vay5jb20vRG9vbkZ1cm5pdHVyZUhvdXNl/4aaf4c31b3702db792ab41903cf4575b/ue/NTY4MjQxNjc/646a323729109a2a9e37b24d41b7fc61,"Saharanpur, Uttar Pradesh",,
Wood and Carving,tel:096101 55500,https://www.houzz.in/trk/aHR0cDovL3d3dy53b29kYW5kY2FydmluZy5jb20/2c896e4d00a94802bacc909e4b465b5c/ue/NTExNzY0NTc/e303b0a88a1c2f37c40dd9d52c43fbf2,"Jaipur, Rajasthan",woodandcarving@gmail.com,9610155500
Galaxy Art Deco,tel:088963 33888,https://www.houzz.in/trk/aHR0cHM6Ly9nYWxheHlfYXJ0ZGVjby5ob3V6ei5jby51aw/557c4651db431602b57942374578e3b8/ue/NTA4NzA4NDc/2e96182e4c71c9d99c04540301758b46,bhatkal,,
METAPHOR CONTEMPORARY FURNITURE,tel:098101 63660,https://www.houzz.in/trk/aHR0cDovL3d3dy5tZXRhcGhvcmNvbnRlbXBvcmFyeWZ1cm5pdHVyZS53b3JkcHJlc3MuY29t/e19330f07255ba8be0a98292815c9a6e/ue/MjY0MTQyNDM/2444451c8e8af15b373c532ed79cba0f,"NEW DELHI, Delhi",,
