title,mobilewebsite,state and city,email
['Nbweb'],['tel:088663 63909'],[],['Ahmedabad'],[]
['Mistri Wood'],['tel:090224 87444'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cubWlzdHJpd29vZC5jb20/dcc4f2dc7fa6c6d1f0420d19e55f3ef4/ue/MzExMDE2OTk/26a0d5b9e7953aedd76e58823b997c2d'],"['Nashik, Maharashtra']",[]
['W&M Design Studio'],['tel:033 4007 6114'],['https://www.houzz.in/trk/aHR0cDovL3dhbmRtLmlu/d5de6cf4c7dfdf7c38ae7438ec0952d2/ue/NDA3MjMwMzI/3549d81728d88a78f4fe1669750bfe74'],"['Kolkata, West Bengal']",[]
['Kraft N Decor Overseas'],['tel:098290 08970'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5rcmFmdG5kZWNvci5jb20/6c83ede51caff12b805cac0af992792c/ue/NzU1OTczNg/5a5b86618919dcc1d6423a06a5745e3d'],['Jodhpur'],[]
['Flipkart'],['tel:1800 208 9898'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuZmxpcGthcnQuY29tL2Z1cm5pdHVyZS1zdG9yZQ/984b8151812f66fc3a0266708d69b6c8/ue/NTUzODg3MjM/57c51e7d855a636600159c72ca73f41d'],"['Bengaluru, Karnataka']",[]
['The Baroque Studio'],['tel:098200 89870'],['https://www.houzz.in/trk/aHR0cDovL3d3dy50aGViYXJvcXVlc3R1ZGlvLmNvbQ/fc49e34a9b6eae02cac074826e91c111/ue/NDY2MDA5NDU/9e6c677eea324e1fd7b5e56e96a32df6'],"['Mumbai, Maharashtra']",[]
['WORLDWIDE ARCHITECTURAL HARDWARE'],['tel:084392 73031'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5jYWJpbmV0aGFyZHdhcmVtYW51ZmFjdHVyZXJzLmNvbS8/743257f18a17ff6c007dda8f56812736/ue/MzM5NTY0NjI/7b797858eb25e04761d82e27b428da34'],"['ALIGARH, Uttar Pradesh']",[]
['Doon Furniture House'],['tel:099175 47184'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5mYWNlYm9vay5jb20vRG9vbkZ1cm5pdHVyZUhvdXNl/4aaf4c31b3702db792ab41903cf4575b/ue/NTY4MjQxNjc/646a323729109a2a9e37b24d41b7fc61'],"['Saharanpur, Uttar Pradesh']",[]
['Wood and Carving'],['tel:096101 55500'],['https://www.houzz.in/trk/aHR0cDovL3d3dy53b29kYW5kY2FydmluZy5jb20/2c896e4d00a94802bacc909e4b465b5c/ue/NTExNzY0NTc/e303b0a88a1c2f37c40dd9d52c43fbf2'],"['Jaipur, Rajasthan']",[]
['Galaxy Art Deco'],['tel:088963 33888'],['https://www.houzz.in/trk/aHR0cHM6Ly9nYWxheHlfYXJ0ZGVjby5ob3V6ei5jby51aw/557c4651db431602b57942374578e3b8/ue/NTA4NzA4NDc/2e96182e4c71c9d99c04540301758b46'],['bhatkal'],[]
['METAPHOR CONTEMPORARY FURNITURE'],['tel:098101 63660'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5tZXRhcGhvcmNvbnRlbXBvcmFyeWZ1cm5pdHVyZS53b3JkcHJlc3MuY29t/e19330f07255ba8be0a98292815c9a6e/ue/MjY0MTQyNDM/2444451c8e8af15b373c532ed79cba0f'],"['NEW DELHI, Delhi']",[]
['Luxus India Pvt. Ltd'],['tel:040 2311 9931'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5sdXh1cy1pbmRpYS5jb20/6ec6921f7c8fdfb0d2fd730b5de6a5d8/ue/MTQ4NTU1MjM/6eecf394f4e8b46093d0a7431bef2c7e'],['Hyderabad'],[]
['The Couch Potato'],['tel:098333 30017'],['https://www.houzz.in/trk/aHR0cDovL3d3dy50aGVjb3VjaHBvdGF0by5pbg/3fb2358ba8f2d608b57d3574c07bb073/ue/MjAzMTI2Nzk/26cae9feb5e2bac01f5a4ea21df0d3dd'],"['Mumbai, Maharashtra']",[]
['Cbi interior expert'],['tel:099674 30773'],['https://www.houzz.in/trk/aHR0cHM6Ly9jYmlfaW50ZXJpb3IuaG91enouaW4/93937a5f0d29741eb99fc63c1e19a0f3/ue/NDg3ODI4MTk/6edd17b57ab4f2dd8be7df251adfe230'],"['Mumbai, Maharashtra']",[]
['Orange Tree'],['tel:090011 90790'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5vcmFuZ2V0cmVlLmNvLmlu/41d4cc6b6bc9a4f25042a8e54257d5d1/ue/MjI0MTQ0MDU/ed304e96794b29e2b3050a9c644f4d6f'],"['Jodhpur, Rajasthan']",[]
['india stone'],['tel:094141 34363'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5pbmRpYXN0b25lc2h1Yi5pbg/4eb7efa422e99978525bac9d2e466f7d/ue/MjA4MTM2MA/44ecaa05c5dce6ae499531cb40321cb0'],['jodhpur'],[]
['Acrylicore'],['tel:097148 28718'],['https://www.houzz.in/trk/aHR0cDovL2FjcnlsaWNvcmUyaW5kaWEuaG91enouaW4/b53af7ae76956f4a82f36a9f5a3e93a5/ue/Mzk2NzYzOTQ/1ec7563617fdcdd5e3950cebaedf6ad3'],"['Bhavnagar, Gujarat']",[]
['om bhavya art'],['tel:094139 60340'],[],['JODHPUR'],[]
[],[],[],[],[]
['Amore Beaute'],['tel:098335 05057'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5ldHN5LmNvbS9zaG9wL0Ftb3JlQmVhdXRlP3JlZj1zaG9wX3N1Z2c/c65ce028b7f049f3eaffd218d17057cd/ue/NDgyNDczOQ/6a97527bab473842a07be1eef43ec28d'],['Goa'],[]
['Arbor Decor'],['tel:098205 06004'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5hcmJvcmRlY29yLmlu/5fc07a46ab049314d2c5cbc0d53c3649/ue/NTQxODc3MzM/2c5f41696b90cf9738d247c1ff341873'],"['Mumbai, Maharashtra']",[]
['XCLUSIVE INTERIORS'],[],['https://www.houzz.in/trk/aHR0cDovL3d3dy54Y2x1c2l2ZWludGVyaW9ycy5uZXQ/02278137d3d08c0dc3567eb62e694ab4/ue/NDcwOTQwMA/871cc31d826a65c3b6eaa5e0cc0132f8'],['BANGALORE'],[]
['Best Of Exports India'],['tel:076652 99458'],['https://www.houzz.in/trk/aHR0cDovL2Jlc3RvZmV4cG9ydHMuaW4/015cbadfde0a99ce46b6b4bf8e103fed/ue/NTAyNTIwNzc/f0a6bfafed146359d37d1556d62d3d03'],"['Jodhpur, Rajasthan']",[]
['Moving Sands'],['tel:099164 94546'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5tb3ZpbmdzYW5kcy5pbg/e22c5fa7c0dd24ad5d803f1b2e752c23/ue/NTA1MzA1MDU/8ac452999467ed55474bd23796620cf9'],"['Bangalore Urban, Karnataka']",[]
['Aquarium Design India'],['tel:098407 17497'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5hcXVhcml1bWRlc2lnbmluZGlhLmNvbQ/5c9c861bb23250fd5034f3e24b240d36/ue/MjA2MTA1NA/a57c71dbd17665f287943195ab5eb98e'],['Chennai'],[]
['krupali modular kitchen'],['tel:098670 60068'],['https://www.houzz.in/trk/aHR0cDovL2tydXBhbGlraXRjaGVuQGZhY2Vib29rLmNvbQ/74e175b08cade1c95078cf6a81a9a11d/ue/OTAwNDE1OQ/348c7102c883f0e24684633a069271a8'],['mumbai'],[]
['ARTS OF JODHPUR'],['tel:094141 41418'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5hcnRvZmpvZGhwdXIuY29t/9334ca77501fff74704a47f4d115b3d9/ue/NzA0MzI2OQ/c12c205481b1006b143f84a5a3909a63'],['Jodhpur'],[]
['Designer Aquarium India Pvt Ltd'],['tel:044 4554 4433'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5hcXVhcml1bWluY2hlbm5haS5jb20/fdddb24b5da5e06ce6e49c725d5bf946/ue/NTUwNjU0NQ/906c507c4e735c5cc5b0bc0bb65b8ba7'],['Chennai'],[]
['Foamtech Boutique'],['tel:094485 63829'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5mb2FtdGVjaC5jby5pbi8/cce4540138120989716cc319c818dd64/ue/MTY5MDY0NDY/09a60aec2b25078292b0fa36940c7464'],['Bangalore'],[]
['Luxury Handicrafts Private Limited'],['tel:0294 241 0740'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5sdXh1cnloYW5kaWNyYWZ0cy5jb20/77bf3123682d4e6db2abf8bb6e9ff4ae/ue/MjA0Mzg4ODE/8d1e4e9f08bfd3b500c75c67e1e5ee2f'],"['Udaipur, Rajasthan']",[]
['kamil Bhai & son'],['tel:085330 01212'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5LYW1pbGJoYWluc29uLmNvbQ/6338e38d8965b68603553fa86f1029d3/ue/NDM4MjI4Mg/aa4f816127c4fb472df2900b5125a53a'],['Moradabad'],[]
['navkar furnishing'],['tel:098200 97619'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5uYXZrYXJmdXJuaXNoaW5nLmlu/ffec714c38c6f5660449ec0075a0d1fd/ue/NTg2MTgxMjk/2d0d8c78aa3eaaa88d6a43ea83542b8f'],"['Mumbai, Maharashtra']",[]
['AJAX RETAILS'],['tel:072300 77700'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5ob21lZ2xhbW91ci5pbg/679f94298bb47b78a999e9786f30718a/ue/MTYwNDM2MTU/d18b4692beb45a27d5af76aafe4f64c8'],"['Jodhpur, Rajasthan']",[]
['Desert Furnish Design Hub Pvt. Ltd.'],['tel:097690 03311'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuZnVybml0dXJlcm9vdHMuY29t/87ac15c175913cb013580f6494c42e84/ue/NTY3NzUwOTA/86fd7c7e80520e65bd60a3e7cfcd5317'],"['Jodhpur, Rajasthan']",[]
['Tapish Agrawal'],['tel:094236 87040'],['https://www.houzz.in/trk/aHR0cHM6Ly90YXBpc2hfYWdyYXdhbC5ob3V6ei5pbg/37b5e348a4577a5142ee7aa9756e7a99/ue/NTU2MTE1OTA/c1b48da2ef878d83ecec71b14551175d'],"['Nagpur, Maharashtra']",[]
['NUMA'],['tel:092274 03175'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5udW1hZ2xvYmFsLmNvbQ/b9e9f317da8b19a9145c41f21c2afc2a/ue/NDI2NTk5NDc/e074bbc0163be43f4da0e980f4187505'],"['Ahmedabad, Gujarat']",[]
['Furniture buying Guide'],['tel:099867 69999'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zdG9yaWVzaG9tZXMuY29tLw/98d6ed428782da467b247cd642abf476/ue/NTk1MzU4OTU/10eb9af7b34715c2195ba830979d38c1'],"['Bangaluru, Karnataka']",[]
['Elegant Arts & Frames'],['tel:098460 23393'],[],"['Thrissur, Kerala']",[]
['Milav Design'],['tel:096606 62001'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5taWxhdmRlc2lnbi5jb20/645926540f59dfcc288178691538c232/ue/NTMxMzEyMTE/9c312861b543f5fe1b9af82ee4a60faa'],"['Jaipur, Rajasthan']",[]
['KVID'],['tel:098291 52645'],['https://www.houzz.in/trk/aHR0cHM6Ly92YXJzaGFfa2hhdHJpNzQuaG91enouaW4/756b7ea2fb3b4f394f4f3075328ec6c4/ue/NTM4NTQ2MzY/71108675d2a801cc6dc21a9b9ed5db7a'],"['JAIPUR, Rajasthan']",[]
['Red Oak Furniture'],['tel:081691 17737'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cucmVkb2FrLmluLw/1ccd4533577ed43eadf4b1a0bbdda8c1/ue/NTY4NzEzMzk/508dd5c3fbf98e1838a1edaa7fea46eb'],"['Mumbai, Maharashtra']",[]
['Magnolia Furniture Store & Design Studio'],['tel:098204 85532'],['https://www.houzz.in/trk/aHR0cHM6Ly9tYWdub2xpYWhvbWUuY28uaW4/8b28488d014a15cbf2124e53c529bb71/ue/NTg4NTYxMjI/e6e30784ca2dfaf960d0b2372693feb8'],"['Mumbai, Maharashtra']",[]
['Greenwood interior'],['tel:096864 72811'],[],"['Bangalore, Karnataka']",[]
['Godrej Script'],['tel:080 2525 2259'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuc2NyaXB0b25saW5lLmNvbS8/398705015a536858f0e274a069bbc0aa/ue/NTUyMzMxMDM/f998aa77b6637a5d682c08d7f266ad03'],"['New Delhi, Delhi']",[]
['Prince Art Exporter'],['tel:097727 12345'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5wcmluY2VhcnRleHBvcnRlci5jb20/fa1cf1d21a217dcb66924e98aa39f3f2/ue/NTk4MjY0NjM/04c45830308d7b73705472ef2588401b'],"['Jodhpur, Rajasthan']",[]
