company name,mobile no,website link,state and city,email
['Flodeal Inc'],['tel:095719 98798'],['https://www.houzz.in/trk/aHR0cHM6Ly9mbG9kZWFsLmNvbQ/dc3b8dc3700c109c7b5deeec688c1c09/ue/MjAyNDA1OQ/38bcd4d417443ffd9a3fa5d778dad603'],"['Udaipur, Rajasthan']",[]
['Shree Ram Marble Tiles Company'],['tel:089478 12514'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL1NSTVRDMTk3OC8/9c45d77c09dce23a1fdb162f3675dd90/ue/NDIwMjE5NDk/eae973a5d15b694e63cba881eba885ee'],"['Bikaner, Rajasthan']",[]
['Stone Exotics'],['tel:097411 22440'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zdG9uZWV4b3RpY3MuaW4/8edc02ada205234de8d7b24184f7ab6d/ue/NDI1NTI5NzQ/76f23a39c111a87c006a3e4bb1caca5a'],"['Bangalore Urban, Karnataka']",[]
['Mother Mary Exports India'],['tel:098291 39819'],['https://www.houzz.in/trk/aHR0cHM6Ly93ZWJ1c2VyXzMzNzY0MDkzNi5ob3V6ei5lcw/4913dbc05f86b2e0a8bed170d5731c49/ue/NTM1NjcyMzg/03fc810baeb03f610ba2aca2dd3ee6a7'],"['Bhilwara, Rajasthan']",[]
['Maxaner International'],['tel:081098 56002'],['https://www.houzz.in/trk/aHR0cDovL21heGFuZXJzbGF0ZS5jb20vYmxhY2stbGltZXN0b25lLw/ade29e778e3fa14b2863c7ca6f846932/ue/ODg5MDM5Nw/ad11dfd0dbf2f3f611d698775970eb5c'],['Gwalior'],[]
"['JB Marmo Pvt., Ltd.,']",['tel:091000 55504'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5qYm1hcmJsZXMuY29t/f39cdf56a42b03a2abd85ef0ac30451b/ue/NjAxMzY3MTc/ba4354d583b731d3f4404f4aee21dfae'],"['Hyderabad, Telangana']",[]
['Pavit Ceramics Pvt. Ltd.'],['tel:1800 233 3366'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cucGF2aXRzLmNvbQ/a517318fb53702297fcada95ce707aaf/ue/NTY5MjI1NTM/6e4f7c91271f0276d531847af33ac25c'],"['Ahmedabad, Gujarat']",[]
['Contractorji construction'],['tel:098796 54068'],['https://www.houzz.in/trk/aHR0cDovL2NvbnRyYWN0b3JqaS5jb20/3a4e9fe03926043783cce53d31842bb7/ue/NTkyMTE0OTc/64c303b9f99f8da1b3f7259933ef665a'],"['Navsari, Gujarat']",[]
['Cricplex'],['tel:0120 413 4764'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuY3JpY3BsZXguY29tL2xpdmUtcmFkaW8/f5991504035a7378ed9f6fe97918ab4a/ue/NTU1Nzc2MDM/ab211b1eb52f560ac696a356cda27acf'],"['NOIDA, Uttar Pradesh']",[]
['Reccorian-The Perfect Solid Surface'],['tel:091217 94823'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zaGFndW5wbG95bWVycy5jb20/bc22f0fd1e885c1b4e66f8b7e69ac75c/ue/NTczMjUzODE/f69eeda81cefedfabcaaa1c92ebc5734'],"['Hyderabad, Telangana']",[]
