company name,mobile no,website link,state and city,email
['Murdock Solon Architects'],['tel:+1 212-929-3336'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5tdXJkb2Nrc29sb24uY29t/e8edc76249c2dac459a5e1ab370dd7ab/ue/NTc1Mw/b5b4ee8113628990ba5c4f3e86c103bb'],"['New York, New York, United States']",[]
"['Carson Poetzl, Inc.']",['tel:+1 480-905-1712'],[],"['Scottsdale, Arizona, United States']",[]
['Alexandra Ryzhkova'],['tel:+7 912 227-21-42'],[],['Ð\x95ÐºÐ°Ñ\x82ÐµÑ\x80Ð¸Ð½Ð±Ñ\x83Ñ\x80Ð³'],[]
['Sublime Design Studio Inc.'],[],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zdWJsaW1lLmRlc2lnbg/d0fad6c533e675a32b53f1598696b120/ue/NjI2NTg5MQ/6f65f1c4212df333b1ce9a144894537c'],"['Red Deer, Alberta, Canada']",[]
['Dream Home Designs Inc.'],['tel:+1 276-783-8333'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5kcmVhbWhvbWVkZXNpZ25zaW5jLmNvbQ/47619f51dbdaff34bffe84b42cfdfec7/ue/NjIzNDcxMA/1183dda034494bdf937d19b3133b7071'],"['Marion, Virginia, United States']",[]
['Kapoor Home Design Ltd'],['tel:+1 778-995-1537'],[],"['Langley, British Columbia, Canada']",[]
['standard'],['tel:+1 323-662-1000'],['https://www.houzz.in/trk/aHR0cDovL3N0YW5kYXJkYXJjaGl0ZWN0dXJlLmNvbS8/0f0cfd5a680185c13a9e16936322a7e9/ue/NTM4OA/271897bcf217bca59ad2ed32bbfb96cc'],"['Los Angeles, California, United States']",[]
['Echo Design'],['tel:+972 2511300072972'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5lY2hvZGVzaWduLmNvLmls/9eb3793ee2f365614252068159a13a23/ue/NDc0Nzky/17afdbecb442c4b5426d32523d242d77'],"['Sde Avraham, Israel']",[]
['ZAVATTO DESIGN GROUP'],['tel:+1 818-601-5601'],['https://www.houzz.in/trk/aHR0cDovL3phdmF0dG9kZXNpZ25ncm91cC5jb20/5a3c7a7053196a7c0836ed14080748b6/ue/NTIwOQ/2c99832435a4bc394a96d3dd1a0c2813'],"['MOUNTAIN CENTER, California, United States']",[]
['linda hrebien interiors'],['tel:+1 610-513-6444'],['https://www.houzz.in/trk/aHR0cDovL2xpbmRhYnJvZ2luLmhvdXp6LmNvbQ/46fc5c7592f8d325552f5d907c1c5522/ue/NjA5Mjk4OA/eb28ad4d3bd7c27217e607c2bbd1d4d0'],"['Sarasota, Florida, United States']",[]
['Santolo Designs'],['tel:+61 423 707 516'],['https://www.houzz.in/trk/aHR0cDovL3NhbnRvbG8uY29tLmF1/da02bceb4e61ed0a4daf2d3164bb6569/ue/NjA1MDAyMg/8ec6195f7361f4d93157df1719ba176c'],"['Sydney, New South Wales']",[]
['Scott Associates'],['tel:+1 213-400-2822'],['https://www.houzz.in/trk/aHR0cDovL3Njb3R0YXNzb2NpYXRlcy5ob3V6ei5jb20/e8dce33632f93b563f366d2c6acb1997/ue/NjA5NTg1MA/cbf55593c62096d5ed74621a00050f0e'],"['Los Angeles, California, United States']",[]
['Carlos E.Ostrej Design LLC'],['tel:+1 770-335-5248'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5jYXJsb3Nvc3RyZWphcmNoaXRlY3QuY29t/2ef9a6a15371dc1c954a2bf501eaca39/ue/NTgzMA/b3d3dbd95ed45803eb0d0b08671fd18f'],"['Georgia, United States']",[]
"['LDB Design Solutions,LLC']",[],['https://www.houzz.in/trk/aHR0cDovL3d3dy5sZGJkZXNpZ25zb2x1dGlvbnMuY29tL2NvbnRhY3RzLmh0bWw/e7a7fcc8b563eceab998560e1c796e7b/ue/NjA0NjYxNg/b2166c5465fae06a18e94f791171a112'],"['McLean, Virginia, United States']",[]
['Alan Cooper Design'],[],[],['South Australia'],[]
['Yael K & Associates'],['tel:+61 8 6365 5305'],['https://www.houzz.in/trk/aHR0cDovL3d3dy55YWVsay5jb20uYXU/2f4718e72b662398c4d4292e0db9bb42/ue/NjMyMzIyNQ/f40e325736da0dcda37fd003648d8819'],"['West Leederville, Western Australia']",[]
['Levan Design'],['tel:+61 418 586 490'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5sZXZhbmRlc2lnbi5jb20uYXU/8a8426e561dc41a020b1db6f0078cafd/ue/NjQzMzIyOQ/7ba3356a888effd3565ac84b80d3c1a6'],"['Melbourne, Victoria']",[]
['PHX Architecture'],['tel:+1 480-477-1111'],['https://www.houzz.in/trk/aHR0cDovL3BoeGFyY2guY29t/a9d6d79e4a364007cd76232d51a204b3/ue/NjAxNg/89935016aa5f9140c05958703201dabb'],"['Beverly Hills, California, United States']",[]
['Forsythe Technical Design & Consulting'],['tel:+1 204-573-5502'],['https://www.houzz.in/trk/aHR0cDovL2Z0ZGMuY2E/122549b1d986ea5b54784b5f32a4a05a/ue/NjMxNzU0MQ/4ea22b65091557bb1e646b7c376526e9'],"['Brandon, Manitoba, Canada']",[]
['Mt Martha Design & Drafting'],['tel:+61 3 5975 4896'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5tdG1hcnRoYWRyYWZ0aW5nLmNvbS5hdQ/6e652dbb134b58c31ed8c4a97db5ba18/ue/NjUwMTgyMg/96b7526b014cf365bcb31e58bcc133ac'],"['Mornington, Victoria']",[]
['Architect Mason Kirby Inc.'],['tel:+1 415-867-5357'],['https://www.houzz.in/trk/aHR0cDovL21hc29ua2lyYnkuY29t/3f8ead4d50ec86dea9efbc0541c4e105/ue/NjU0Nw/2711c8b4cb2ea5b50c879ef417ec46b4'],"['San Francisco, California, United States']",[]
['ArcDesign'],['tel:+1 727-446-8022'],['https://www.houzz.in/trk/aHR0cHM6Ly9hcmNkZXNpZ243Lm5ldC8/9201107f01f1dbe3b76283f07fc8a7aa/ue/NjMxOTMxOA/47d6c04cab30fc934db9d2ad9b035c4b'],"['Clearwater, Florida, United States']",[]
['Portal Design Inc'],['tel:+1 604-736-0306'],['https://www.houzz.in/trk/aHR0cDovL3BvcnRhbGRlc2lnbi5jYQ/ead99b017864778fae035b6cb07ebd0f/ue/NjEwMA/be874d39fab080357212b5155cf1ea13'],"['Vancouver, British Columbia, Canada']",[]
"['Donnelly Design Build, Inc.']",['tel:+1 239-495-7045'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5kb25uZWxseWRlc2lnbmJ1aWxkLmNvbQ/b5f560fb965dac7edf655ffa04e01c6e/ue/NjU5ODYwNw/eb3ca83fb883b671108944e5f8ca53d9'],"['Bonita Springs, Florida, United States']",[]
['ArcCreative Ltd.'],['tel:+1 872-588-2000'],['https://www.houzz.in/trk/aHR0cDovL2FyY2NyZWF0aXZlLmhvdXp6LmNvbQ/677881556f7c737922eb429a8a398386/ue/NjQ0Mw/d9fcc41cd0414747d25f222cb80b85be'],"['Willowbrook, Illinois, United States']",[]
"['Gar-Nel Home Design, llc']",['tel:+1 513-266-0235'],[],"['Cincinnati, Ohio, United States']",[]
['lisa_tagliaferri'],['tel:+39 347 800 0170'],[],['Boves CN'],[]
['borrell design'],['tel:+61 412 043 463'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5ib3JyZWxsZGVzaWduLmNvbS5hdQ/a31d01cbb1a0fb991b6772a66c951c82/ue/MTY3MDYx/c8acfdeb7e538214d74fde9950cc9862'],"['Byron Bay, New South Wales']",[]
['your abode'],['tel:+61 2 9973 2756'],['https://www.houzz.in/trk/aHR0cDovL3d3dy55b3VyYWJvZGUuY29tLmF1/1bb2bf5d0f3d6753f4b621b056d298ca/ue/NjM3OTc5OA/5e60679c4cd0507b8fc3170e031ff4af'],"['Avalon, New South Wales']",[]
['N2 Studio'],['tel:+61 2 9438 4379'],[],"['Crows Nest, New South Wales']",[]
['Archipelago Hawaii Luxury Home Designs'],['tel:+1 808-263-8891'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5hcmNoaXBlbGFnb2hhd2FpaS5jb20/a57a663d516b6fdda731d8b4fb1f4e49/ue/NzY5NA/81db3c66e3c244f28514a29df1a954d9'],"['Kailua, Hawaii, United States']",[]
['Rise Up Design P/L'],['tel:+61 419 777 091'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5yaXNldXBkZXNpZ24uY29tLmF1/7f8f8bd6be246919366ed568eaf12b1e/ue/NjgwMDYwMA/7f9d3014a1fb478035964de63fb89016'],"['Melbourne, Victoria']",[]
"['Bryan Oliver Designs,LLC.']",['tel:+1 208-447-8060'],['https://www.houzz.in/trk/aHR0cDovL2JyeWFuX29saXZlci5ob3V6ei5jb20/baaf516870010a3af4d5c8dc0a8de14e/ue/NjczMTk5NQ/7be3a8dafb3fa43afd2df2ba032befa2'],"['Star, Idaho, United States']",[]
['Maya House'],['tel:+1 706-206-7559'],['https://www.houzz.in/trk/aHR0cDovL2V6dGVha0BnbWFpbC5jb20/0b76a1af50b918ff58ba53ba8b27659e/ue/NjYyMzQ1MQ/c9c4fa8e182bfe04b8154ec0a47d3a39'],"['Watkinsville, United States']",[]
['tammy massey   architect + interior designer'],['tel:+1 850-294-9404'],[],"['seaside, Florida, United States']",[]
['Design Synergy'],['tel:+61 439 111 969'],['https://www.houzz.in/trk/aHR0cDovL2Rlc2lnbnN5bmVyZ3kuY29tLmF1/962cbf96bb18fb2789306a66ca60b3a9/ue/NjcwODQzNQ/2bebadb62f96081c604fe2183f66e581'],"['Midland DC, Western Australia']",[]
"['Ð§CÐ£Ð\x9f"" Ð\x90Ñ\x80Ñ\x82-Ð\x9bÐ°Ð½Ð´Ñ\x88Ð°Ñ\x84Ñ\x82"".']",['tel:+375 29 630-04-09'],['https://www.houzz.in/trk/aHR0cDovL2FydC1sYW5kc2hhZnQuYnk/56df027bb684bb099408f27215846c2e/ue/NjYwNzQ4OA/741a8f688149ca3782d59b3b5004e756'],"['Zaslavl, Belarus']",[]
['Compassionate Arts International'],['tel:+1 818-222-7322'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5jb21wYXNzaW9uYXRlYXJ0cy5jb20/be842b4fb1734252491e3bf6a8ce2873/ue/NzMwNg/0703ae1fd3ce4dd548f28392f9e750f4'],"['Sherman Oaks, California, United States']",[]
['Ehlinger Design'],['tel:+1 541-460-3011'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5laGxpbmdlcmRlc2lnbi5jb20/2e396a4fb829148ae768736dc8e40a73/ue/NjgwMTExNA/9168d141a2173c783c580218332c7b6b'],"['Bend, Oregon, United States']",[]
['Ilija Mirceski'],[],[],"['Prilep, Macedonia']",[]
['Brennan Sisters Design'],['tel:+1 262-903-1266'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5icmVubmFuc2lzdGVyc2Rlc2lnbi5jb20/364003dc441cf88abd2ca8e4518a20cf/ue/NjcxNzgwNw/688781d71534fa5aecf1d700293f9712'],"['Elkhorn, Wisconsin, United States']",[]
['MHSbyDesign'],['tel:+1 613-475-3688'],['https://www.houzz.in/trk/aHR0cDovL21oc2J5ZGVzaWduLmNvbQ/7bbfe1e5d8eced7946aa6eb6062c0578/ue/NjgxMDEyNQ/c0896af66165acdb5a7e6ec93f93dbe7'],"['Brighton, Ontario, Canada']",[]
['Otium Building Design'],['tel:+61 411 028 918'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5vdGl1bWRlc2lnbi5jb20uYXU/00b13cba56796fd6fe06001bba3fb232/ue/NjY3NDAyMA/a6886ae3acba44c3488bfd1dfd6fb15c'],"['Adelaide, South Australia']",[]
['RUDY HILT DESIGN'],[],['https://www.houzz.in/trk/aHR0cDovL1JVRFlISUxULkNPTQ/971732155e8533b03d65f6ad32cedbaa/ue/NjczMjkyMg/29a0289d5b83d499e68ca1745eba412f'],"['Lynchburg, Virginia, United States']",[]
['Dan and Teri Malloy Design and Construction'],['tel:+1 402-657-0354'],[],"['Omaha, Nebraska, United States']",[]
['ZeroEnergy Design'],['tel:+1 617-720-5002'],['https://www.houzz.in/trk/aHR0cDovL3plcm9lbmVyZ3kuY29t/944dcb1b3d5921c15c7ef0d90d8c92ea/ue/Mzc1MzI/7527cf6a44efb56a3c57678dcefc2973'],"['Boston, Massachusetts, United States']",[]
['Birdseye Design'],['tel:+1 802-434-3105'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5iaXJkc2V5ZXZ0LmNvbQ/323fd7ca55586bbf558a531c5b06ee48/ue/OTAzMA/de0f1ea5ef7044166df181024483fcc8'],"['Richmond, Vermont, United States']",[]
['Frederick + Frederick Architects'],['tel:+1 843-522-8422'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5mLWZhcmNoaXRlY3RzLmNvbQ/dab2638bedb953066aacec93de1ea820/ue/ODczNQ/e9df2a88506ed5244f86fafc59ebceed'],"['Beaufort, South Carolina, United States']",[]
['Kenora Design Group'],[],['https://www.houzz.in/trk/aHR0cDovL3d3dy5jbGF1ZGVsb3JkLmNvbQ/f9fef8e2ad28f9df3c34723c8cadfcca/ue/MTQ2OTgzNQ/cfda06f2132530a278fce5d59e0d8496'],"['Kenora, Ontario, Canada']",[]
