company name,mobile no,website link,state and city,email
['Atelier Hafner -  Tapissier dÃ©corateur - Sellier'],['tel:+33 5 46 82 34 55'],['https://www.houzz.in/trk/aHR0cDovL2F0ZWxpZXJoYWZuZXIuaG91enouY29t/8dfb8c3cb838dba297bd2d11ca0d0508/ue/MjAyOTI1NzE/7ca96701195f96f50874fb3c5a180a78'],['Tonnay-Charente'],[]
['Fibrenew Calgary South'],['tel:+1 403-995-0923'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5maWJyZW5ldy5jb20vY2FsZ2FyeV9zb3V0aC8/731e209b4dcc7e46839382e53d632e76/ue/MzQxNzAyODg/ceb3ac722969c7c53c7ec9f4478fd836'],"['Okotoks, Alberta, Canada']",[]
['Texas Woodworks'],['tel:+1 713-443-8487'],['https://www.houzz.in/trk/aHR0cDovL3d3dy50ZXhhc3dvb2R3cmtzLmNvbQ/75d8ced613f05f7f2754ead70414518c/ue/MTc1MjgyOA/978b6c2fd613dd3dd50875c75d6d166a'],"['Katy, Texas, United States']",[]
['Kilim Deco'],['tel:+33 4 76 25 63 14'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5raWxpbWRlY28uY29tLw/cc61739bc228d6720294ef219e6247ec/ue/MjAyOTEzMTg/dc2d2708c2ea33ed3e08ce2f17d2423f'],['Grenoble'],[]
['Fine Line Furniture & Accessories'],['tel:+1 305-661-4414'],['https://www.houzz.in/trk/aHR0cDovL2ZpbmVsaW5lZnVybml0dXJlYW5kYWNjZXNzb3JpZXMuY29tLw/4ccdc23f3edde17161e81143a1cbe60d/ue/MTc2NDczNg/74ef5aec56dad23bad9dcd725b600934'],"['Coral Gables, Florida, United States']",[]
['Clous et Patine'],['tel:+33 6 62 62 58 09'],['https://www.houzz.in/trk/aHR0cDovL2Nsb3VzZXRwYXRpbmUud2l4LmNvbS9zaWVnZWV0cGF0aW5l/a22d71c440978719b39f3d8e2192e0d9/ue/MjAzNjIwMTk/b8f0d9b74db3e16890decb541e65c1a5'],['Noisy le Roi'],[]
['Metre & Carre'],['tel:+33 4 66 52 57 24'],['https://www.houzz.in/trk/aHR0cDovL21ldHJldGNhcnJlLmZy/3b612262196e853149616f07094dd0d6/ue/MjAyODc0Mjc/910d87e246052a35f1fb6a38a2f71a4d'],['UzÃ¨s'],[]
['Fitting Piarotto'],['tel:+39 041 572 8422'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5QaWFyb3R0by5jb20/9b8be0fa8cfaac5a144ebd9b3c7471ec/ue/MTc2NDY2Mw/d56fe775cbe1a99a5cf6fd22915e6f2c'],['Mirano Venice'],[]
['FurniturePM'],['tel:+1 215-969-4252'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5mdXJuaXR1cmVwbS5jb20/f42aabba0f970c1bbd2efe4348b8e242/ue/MTc1NjUxNQ/d57a6d661bb5fd44644006ce2a341fa6'],"['Philadelphia, Pennsylvania, United States']",[]
['Regal Upholstery & Drapery Co'],['tel:+1 702-870-2929'],['https://www.houzz.in/trk/aHR0cDovL3JlZ2FsbHYuY29tLw/e8a17588961c462bf870e6c520cba237/ue/MjAyNzA2NjE/732a962698ddfc19704393c779e98ff9'],"['Las Vegas, Nevada, United States']",[]
"[""Rowland's Upholstery Plus""]",['tel:+1 904-261-5842'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5Sb3dsYW5kc1VwaG9sc3RlcnlvZkFtZWxpYS5jb20/4621279eedfa2295ce25d134c961fc8e/ue/NzIxODM5OA/6c52bcf785db93df2153d91bab6e8199'],"['Fenandina Beach, Florida, United States']",[]
['Atomic Pad'],['tel:+1 562-481-4036'],['https://www.houzz.in/trk/aHR0cDovL2F0b21pY3BhZC5uZXQ/eb6966f3e312e0af16b961719e560732/ue/MTc2NTI5OA/eb703c703ccbbab20e0fac9f8c2a1d84'],"['Granada Hills, California, United States']",[]
['the aga brandÂ® | agalivingâ\x84¢'],['tel:+234 809 232 9791'],['https://www.houzz.in/trk/aHR0cDovL3RoZWFnYWJyYW5kLmhvdXp6LmNvbQ/fc898a897e33fe7cbbf59882079b946d/ue/MTc1NTU0MQ/92446b2634c01c8b69a26427eb2213d8'],"['Lagos., Nigeria']",[]
['Irvine Design Center'],['tel:+1 949-262-1161'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5pcnZpbmVkZXNpZ25jZW50ZXIuY29tLw/f7d4bb9c878027ace7b7573a4d46e0b5/ue/NDgzNTg4/ca2c92420f98806dfa7b5269f93eda5f'],"['Tustin, California, United States']",[]
['LES ATELIERS D ORIGINE'],['tel:+33 1 44 54 98 98'],[],['PARIS'],[]
['Pamela Langbridge Curtains and Upholstery'],['tel:+44 1342 835004'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5wYW1lbGFsYW5nYnJpZGdlLmNvLnVr/9f417da70a2ee298604cae62abb08f60/ue/MjA0NTgxMDE/f34305b6d2508bcce4380e99fd0f2aa7'],"['Lingfield Surrey, Surrey']",[]
['Silverado Salvage and Design'],['tel:+1 323-277-4771'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zaWx2ZXJhZG9zYWx2YWdlYW5kZGVzaWduLmNvbQ/cd7c668c307b3c67d21a31f4fcb640e4/ue/MTc2NTQ5Ng/f21749849e0a39fd13922ac363e50be9'],"['Vernon, California, United States']",[]
['decoration christine'],['tel:+33 6 67 40 55 55'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5kZWNvcmF0aW9uLWNocmlzdGluZS5mcg/d0caa8ac47982a0eb427389e640f1a27/ue/MjA0Mzk0MDE/fe926b9f0a61f32196b558ef87d1913a'],['nordhouse'],[]
['Camille DÃ©coration'],['tel:+33 6 41 77 43 46'],['https://www.houzz.in/trk/aHR0cDovL2NhbWlsbGUtZGVjb3JhdGlvbi5jb20/c948369abc7fe817a4a6efb6f8351c7e/ue/MjA0MDYwMTk/08f1dd58d400aef76fc881dfe4c0dfb2'],['Tarbes'],[]
['Lisa Schott'],['tel:+1 603-624-7600'],[],"['New Hampshire, United States']",[]
['CRIN & Cie - Artisan Tapissier'],['tel:+33 7 71 02 90 64'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5jcmluZXRjaWUtdGFwaXNzaWVyLmZy/b3b559847def4ebc6325daeb20cf39d5/ue/MjA0NTc3NDk/c2e96fe8b3d934473e9053c2736a3d9f'],['HANCHES'],[]
"['Elvis Upholstery & Draperies, Inc.']",['tel:+1 904-242-8778'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5lbHZpc3VwaG9sc3RlcnkuY29tLw/799282d216e214190ee103f20a44793f/ue/MjA0NjA4MjA/225226642fcfdedb893183ed622b37ca'],"['Atlantic Beach, Florida, United States']",[]
['Journey'],['tel:+1 718-797-9277'],['https://www.houzz.in/trk/aHR0cDovL0pvdXJuZXlkdW1iby5jb20/5de1ca99726f51070762d29180066d8b/ue/MTc3MjE4OA/f4baea643e5f4012ef08e3a122192c0d'],"['Brooklyn, New York, United States']",[]
['Fibrenew Edmonton'],['tel:+1 780-722-5849'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5maWJyZW5ldy5jb20vZWRtb250b24v/7d24f9653e68ed2f1e9a1d77b91d1b62/ue/MzQyMTkxMjI/c16fd9d77cf9227ec46d468e07129d8e'],"['Edmonton, Alberta, Canada']",[]
['ClÃ©mentine MessiÃ© Tapissier DÃ©coratrice'],['tel:+33 1 48 06 93 82'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5jbGVtZW50aW5lbWVzc2llLmNvbS8/b7657e5e35f54e9e2301e1a56f94e56c/ue/MjA0Mzk5NzQ/d51dc6bf4b9bafb226d30691ae7c3213'],['Paris'],[]
