company name,mobile no,website link,state and city,email
['The Pink Elephant India'],['tel:098113 39886'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5mYWNlYm9vay5jb20vdGhlcGlua2VsZXBoYW50aW5kaWE/1dd70e2bb83c6cb4142da1a944263d27/ue/NDMwNDE3Nw/59dd0987065a0ccffd6003bd1a1d6f2b'],['New Delhi'],[]
['Aranyaveda'],['tel:098111 41919'],[],"['Delhi, Delhi']",[]
['buraq living'],['tel:098113 72114'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5pbmRpYW1hcnQvYnVyYXFsaXZpbmcuY29t/d6845aff0ce63deaf1e777d0a4acfeda/ue/NDA1ODgxMzM/00291ca46451928d44dbb92ba9ef3268'],"['new delhi, Delhi']",[]
['shams furniture'],['tel:097162 77506'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zaGFtc2Rlc2lnbi5pbg/b8d45e07bf346e6513087a6c11f7909d/ue/NTg0MzkxMTk/e81efb9c374c1cdb80789b38edf831bf'],"['Ghaziabad, Uttar Pradesh']",[]
['Handykrafts'],['tel:098912 92112'],[],['New Delhi'],[]
['AVIT LIFESTYLE'],['tel:098911 88316'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5hdml0bGlmZXN0eWxlLmNvbQ/07e1f5f606664fe51c134a4c880a9016/ue/MzkwMTA3MDE/c8df10f4e567e1be3c2c599b12057062'],"['Delhi, Delhi']",[]
['Sogno office furniture India pvt. Ltd.'],['tel:098102 26494'],['https://www.houzz.in/trk/aHR0cDovL1d3dy5zb2dub29mZmljZWZ1cm5pdHVyZS5jb20/3d25865e73c5f79f89654f63b0d943bf/ue/NTQxMjc0Mzc/5fc921e43aabe633fae4f5d2a1431a2a'],['Noida'],[]
['Kreative Arts'],['tel:098999 11190'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5rcmVhdGl2ZWFydHMuaW4/34ce473bab9905bd1f5716bdb829857d/ue/NTI5MTk0MQ/c7cfd2467367413dc46c95eef0b13093'],"['New Delhi, Delhi']",[]
['Mor Decor'],['tel:084488 30773'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5tb3JkZWNvci5pbg/f4161ab47813e01edb2e3975c67d459e/ue/NTIwMjY3NTE/60e353d1447e1cd87f6faedc8bd0a72a'],"['New Delhi, Delhi']",[]
['Sourcingstar'],['tel:098115 43120'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zb3VyY2luZ3N0YXIuY29t/3141a4ea1f5d06b790dd7b5796d8927a/ue/MTQ2MjMyNzA/a50976af993e5186f91dbe878a65aa3c'],['Greater Noida'],[]
